id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1103566,"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",6060927,Arin,,Downtown,49.27865,-123.10722,Entire home/apt,349,3,219,2019-02-26,4.47,1,263
1109821,136 Lord Stanley Great price!,600607,Bruce,,West End,49.29193,-123.1364,Entire home/apt,86,30,10,2019-02-10,0.16,50,74
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,,Kitsilano,49.26056,-123.15874,Entire home/apt,480,6,30,2019-01-04,0.44,1,220
1115618,This is the door to Vancouver UNE,981145,Dianne,,Downtown Eastside,49.27864,-123.07854,Private room,67,1,25,2019-02-06,0.45,4,363
1118858,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28115,-123.13038,Private room,95,3,36,2019-01-02,0.52,3,278
1126273,Yaletown/Downtown  1 Bedroom Condo,254337,Edgar,,Downtown,49.28061,-123.11874,Entire home/apt,99,30,0,,,2,298
1130865,Fabulous Yaletown location,6204357,Tatiana,,Downtown,49.27664,-123.12321,Entire home/apt,161,60,5,2018-08-31,0.07,2,280
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27954,-123.08689,Entire home/apt,120,3,231,2019-02-21,3.26,1,191
1162198,Bright & Tidy Character Apartment,6366260,Mary,,Grandview-Woodland,49.27186,-123.06996,Private room,48,30,69,2019-01-03,1.02,1,290
1171867,Live by the beach in Kits Point,1805803,Linda,,Kitsilano,49.27427,-123.14976,Entire home/apt,300,3,60,2018-12-05,0.89,1,0
1178149,Cozy space in East Vancouver,6165412,Sylvia,,Hastings-Sunrise,49.27128,-123.04797,Entire home/apt,70,2,15,2019-02-12,1.89,1,203
1187929,Elegant Main floor House Vancouver,6495937,Janet,,Kensington-Cedar Cottage,49.24931,-123.0704,Entire home/apt,188,3,69,2019-02-18,1.01,1,43
1191143,Beautiful Kitsilano Character home. Great Location,598979,Mary,,Kitsilano,49.26856,-123.17419,Entire home/apt,300,10,11,2018-09-22,0.19,2,26
1209195,Kriszta's Studio,6602654,Kriszta,,Grandview-Woodland,49.27244,-123.06493,Entire home/apt,99,2,263,2019-02-17,3.75,2,116
1213494,Beautiful new home in Mt. Pleasant,6624242,Jonathan And Marie,,Mount Pleasant,49.26198,-123.08556,Entire home/apt,250,5,11,2018-08-26,0.25,2,43
1214617,Cool cozy suite on The Drive,6630357,Divina And Viv,,Grandview-Woodland,49.26589,-123.0677,Entire home/apt,134,3,166,2019-02-25,2.41,1,188
1216428,"Garden Paradise, by Olympic Village",6637800,Edward,,Mount Pleasant,49.26538,-123.09059,Private room,75,3,41,2018-11-12,0.90,1,318
1223989,Stunning Suite Heart of DT w/Parkng,6677154,Amanda,,West End,49.27915,-123.12949,Entire home/apt,120,89,100,2017-05-17,1.45,1,154
